id,league_id,name,short_name,logo_url,espn_id
six_nations-9,six_nations,France,FRA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/9.png,9
six_nations-3,six_nations,Ireland,IRE,https://a.espncdn.com/i/teamlogos/rugby/teams/500/3.png,3
six_nations-20,six_nations,Italy,ITA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/20.png,20
six_nations-2,six_nations,Scotland,SCO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/2.png,2
six_nations-4,six_nations,Wales,WAL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/4.png,4
premiership-25898,premiership,Bath Rugby,BAT,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25898.png,25898
premiership-25899,premiership,Bristol Rugby,BRI,,25899
premiership-116227,premiership,Exeter Chiefs,EXE,https://a.espncdn.com/i/teamlogos/rugby/teams/500/116227.png,116227
premiership-25900,premiership,Gloucester Rugby,GLO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25900.png,25900
premiership-25901,premiership,Harlequins,HAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25901.png,25901
premiership-25903,premiership,Leicester Tigers,LEI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25903.png,25903
premiership-25906,premiership,Newcastle Falcons,NEW,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25906.png,25906
premiership-25907,premiership,Northampton Saints,NOR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25907.png,25907
premiership-25908,premiership,Sale Sharks,SAL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25908.png,25908
premiership-25909,premiership,Saracens,SAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25909.png,25909
top14-25927,top14,Benetton Treviso,BEN,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25927.png,25927
top14-25953,top14,Bulls,BUL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25953.png,25953
top14-25965,top14,Cardiff Blues,CAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25965.png,25965
top14-25923,top14,Connacht,CON,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25923.png,25923
top14-25967,top14,Dragons,DRA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25967.png,25967
top14-25951,top14,Edinburgh,EDI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25951.png,25951
top14-25952,top14,Glasgow Warriors,GLA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25952.png,25952
top14-25924,top14,Leinster,LEI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25924.png,25924
top14-25958,top14,Lions,LIO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25958.png,25958
top14-25925,top14,Munster,MUN,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25925.png,25925
top14-25968,top14,Ospreys,OSP,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25968.png,25968
top14-25966,top14,Scarlets,SCA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25966.png,25966
top14-25961,top14,Sharks,SHA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25961.png,25961
top14-25962,top14,Stormers,STO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25962.png,25962
top14-25926,top14,Ulster,ULS,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25926.png,25926
top14-167124,top14,Zebre,ZEB,https://a.espncdn.com/i/teamlogos/rugby/teams/500/167124.png,167124
super_rugby-25932,super_rugby,Blues,BLU,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25932.png,25932
super_rugby-25889,super_rugby,Brumbies,ACT,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25889.png,25889
super_rugby-25934,super_rugby,Chiefs,CHI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25934.png,25934
super_rugby-25936,super_rugby,Crusaders,CRU,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25936.png,25936
super_rugby-289338,super_rugby,Fijian Drua,FIJ,https://a.espncdn.com/i/teamlogos/rugby/teams/500/289338.png,289338
super_rugby-25938,super_rugby,Highlanders,HIG,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25938.png,25938
super_rugby-25939,super_rugby,Hurricanes,HUR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25939.png,25939
